area,cases,date
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",939,2021-02-25
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,3321,2021-02-25
FEDERAL PRISON IN LOMPOC,1086,2021-02-25
CITY OF SANTA MARIA,10713,2021-02-25
COMMUNITY OF ORCUTT,1664,2021-02-25
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey, Cuyama, New Cuyama, and the City of Guadalupe",1224,2021-02-25
Out of County,0,2021-02-25
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",1269,2021-02-24
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,5872,2021-02-24
CITY OF GOLETA,1636,2021-02-24
COMMUNITY OF ISLA VISTA,1217,2021-02-24
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,1094,2021-02-24
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",939,2021-02-24
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,3309,2021-02-24
FEDERAL PRISON IN LOMPOC,1086,2021-02-24
CITY OF SANTA MARIA,10701,2021-02-24
COMMUNITY OF ORCUTT,1663,2021-02-24
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey, Cuyama, New Cuyama, and the City of Guadalupe",1223,2021-02-24
Out of County,0,2021-02-24
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",1267,2021-02-23
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,5850,2021-02-23
CITY OF GOLETA,1635,2021-02-23
COMMUNITY OF ISLA VISTA,1203,2021-02-23
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,1089,2021-02-23
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",938,2021-02-23
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,3302,2021-02-23
FEDERAL PRISON IN LOMPOC,1086,2021-02-23
CITY OF SANTA MARIA,10681,2021-02-23
COMMUNITY OF ORCUTT,1661,2021-02-23
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey, Cuyama, New Cuyama, and the City of Guadalupe",1221,2021-02-23
Out of County,0,2021-02-23
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",1266,2021-02-22
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,5843,2021-02-22
CITY OF GOLETA,1636,2021-02-22
COMMUNITY OF ISLA VISTA,1196,2021-02-22
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,1076,2021-02-22
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",935,2021-02-22
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,3298,2021-02-22
FEDERAL PRISON IN LOMPOC,1086,2021-02-22
CITY OF SANTA MARIA,10658,2021-02-22
COMMUNITY OF ORCUTT,1653,2021-02-22
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey, Cuyama, New Cuyama, and the City of Guadalupe",1221,2021-02-22
Out of County,0,2021-02-22
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",1264,2021-02-21
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,5835,2021-02-21
CITY OF GOLETA,1637,2021-02-21
COMMUNITY OF ISLA VISTA,1195,2021-02-21
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,1074,2021-02-21
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",931,2021-02-21
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,3293,2021-02-21
FEDERAL PRISON IN LOMPOC,1086,2021-02-21
CITY OF SANTA MARIA,10638,2021-02-21
COMMUNITY OF ORCUTT,1649,2021-02-21
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey, Cuyama, New Cuyama, and the City of Guadalupe",1219,2021-02-21
Out of County,0,2021-02-21
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",1263,2021-02-20
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,5822,2021-02-20
CITY OF GOLETA,1633,2021-02-20
COMMUNITY OF ISLA VISTA,1186,2021-02-20
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,1072,2021-02-20
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",925,2021-02-20
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,3279,2021-02-20
FEDERAL PRISON IN LOMPOC,1086,2021-02-20
CITY OF SANTA MARIA,10612,2021-02-20
COMMUNITY OF ORCUTT,1641,2021-02-20
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey, Cuyama, New Cuyama, and the City of Guadalupe",1218,2021-02-20
Out of County,0,2021-02-20
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",1260,2021-02-19
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,5792,2021-02-19
CITY OF GOLETA,1625,2021-02-19
COMMUNITY OF ISLA VISTA,1183,2021-02-19
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,1067,2021-02-19
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",923,2021-02-19
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,3272,2021-02-19
FEDERAL PRISON IN LOMPOC,1086,2021-02-19
CITY OF SANTA MARIA,10587,2021-02-19
COMMUNITY OF ORCUTT,1637,2021-02-19
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey, Cuyama, New Cuyama, and the City of Guadalupe",1216,2021-02-19
Out of County,0,2021-02-19
